Data,Tipo de movimentação,Valor
2023-09-04,Rendimentos,0.39
2023-09-05,Rendimentos,0.4
2023-09-06,Rendimentos,0.38
2023-09-08,Rendimentos,0.41
2023-09-11,Rendimentos,0.38
2023-09-12,Rendimentos,0.39
2023-09-12,Resgatado,-500.0
2023-09-13,Rendimentos,0.21
2023-09-14,Rendimentos,0.2
2023-09-15,Rendimentos,0.19
2023-09-18,Rendimentos,0.19
2023-09-19,Rendimentos,0.21
2023-09-20,Rendimentos,0.19
2023-09-21,Rendimentos,0.2
2023-09-22,Rendimentos,0.2
2023-09-25,Rendimentos,0.18
2023-09-26,Rendimentos,0.19
2023-09-27,Rendimentos,0.19
2023-09-28,Rendimentos,0.19
2023-09-29,Rendimentos,0.2
2023-10-02,Rendimentos,0.18
2023-10-03,Rendimentos,0.19
2023-10-04,Rendimentos,0.2
2023-10-05,Rendimentos,0.18
2023-10-05,Guardado,84.66
2023-10-06,Rendimentos,0.2
2023-10-09,Rendimentos,0.18
2023-10-10,Rendimentos,0.22
2023-10-11,Rendimentos,0.19
2023-10-13,Rendimentos,0.2
2023-10-15,Resgatado,-40.0
2023-10-16,Rendimentos,0.23
2023-10-17,Rendimentos,0.2
2023-10-18,Rendimentos,0.2
2023-10-19,Rendimentos,0.2
2023-10-20,Rendimentos,0.2
2023-10-20,Resgatado,-20.0
2023-10-22,Resgatado,-15.0
2023-10-23,Rendimentos,0.19
2023-10-24,Rendimentos,0.23
2023-10-25,Rendimentos,0.18
2023-10-26,Rendimentos,0.22
2023-10-27,Rendimentos,0.2
2023-10-28,Resgatado,-20.0
2023-10-30,Rendimentos,0.21
2023-10-31,Rendimentos,0.23
2023-11-01,Rendimentos,0.21
2023-11-02,Resgatado,-100.0
2023-11-03,Rendimentos,0.2
2023-11-05,Resgatado,-100.0
2023-11-06,Rendimentos,0.19
2023-11-07,Rendimentos,0.1
2023-11-08,Rendimentos,0.11
2023-11-09,Rendimentos,0.12
2023-11-10,Rendimentos,0.1
2023-11-13,Rendimentos,0.11
2023-11-14,Rendimentos,0.11
2023-11-16,Rendimentos,0.1
2023-11-17,Rendimentos,0.12
2023-11-20,Rendimentos,0.12
2023-11-21,Rendimentos,0.11
2023-11-22,Rendimentos,0.1
2023-11-23,Rendimentos,0.12
2023-11-24,Rendimentos,0.11
2023-11-27,Rendimentos,0.1
2023-11-28,Rendimentos,0.11
2023-11-29,Rendimentos,0.12
2023-11-30,Rendimentos,0.1
2023-12-01,Rendimentos,0.11
2023-12-04,Rendimentos,0.12
2023-12-05,Rendimentos,0.11
2023-12-06,Rendimentos,0.11
2023-12-07,Rendimentos,0.11
2023-12-08,Rendimentos,0.12
2023-12-11,Rendimentos,0.1
2023-12-12,Rendimentos,0.11
2023-12-13,Rendimentos,0.11
2023-12-14,Rendimentos,0.11
2023-12-15,Rendimentos,0.11
2023-12-18,Rendimentos,0.11
2023-12-19,Rendimentos,0.11
2023-12-20,Rendimentos,0.09
2023-12-21,Rendimentos,0.11
2023-12-22,Rendimentos,0.11
2023-12-26,Rendimentos,0.11
2023-12-27,Rendimentos,0.1
2023-12-28,Rendimentos,0.1
2023-12-29,Rendimentos,0.12
2024-01-03,Rendimentos,0.11
2024-01-03,Rendimentos,0.1
2024-01-04,Rendimentos,0.11
2024-01-05,Rendimentos,0.11
2024-01-08,Rendimentos,0.11
2024-01-09,Rendimentos,0.1
2024-01-10,Rendimentos,0.12
2024-01-11,Rendimentos,0.1
2024-01-12,Rendimentos,0.11
2024-01-15,Rendimentos,0.1
2024-01-16,Rendimentos,0.44
2024-01-17,Rendimentos,0.11
2024-01-18,Rendimentos,0.11
2024-01-19,Rendimentos,0.11
2024-01-22,Rendimentos,0.11
2024-01-23,Rendimentos,0.12
2024-01-24,Rendimentos,0.11
2024-01-25,Rendimentos,0.1
2024-01-26,Rendimentos,0.11
2024-01-29,Rendimentos,0.11
2024-01-30,Rendimentos,0.11
2024-01-31,Rendimentos,0.11
2024-02-01,Rendimentos,0.11
2024-02-02,Rendimentos,0.12
2024-02-05,Rendimentos,0.11
2024-02-06,Rendimentos,0.09
2024-02-07,Rendimentos,0.11
2024-02-08,Guardado,462.44
2024-02-08,Rendimentos,0.11
2024-02-09,Rendimentos,0.11
2024-02-14,Rendimentos,0.12
2024-02-15,Rendimentos,0.2
2024-02-16,Rendimentos,0.15
2024-02-19,Rendimentos,0.18
2024-02-20,Rendimentos,0.24
2024-02-21,Rendimentos,0.2
2024-02-22,Rendimentos,0.22
2024-02-23,Rendimentos,0.23
2024-02-26,Rendimentos,0.25
2024-02-27,Rendimentos,0.35
2024-02-28,Rendimentos,0.26
2024-02-29,Rendimentos,0.28
2024-02-29,Resgatado,-10.0
2024-03-01,Rendimentos,0.3
2024-03-04,Rendimentos,0.27
2024-03-05,Rendimentos,0.48
2024-03-06,Rendimentos,0.32
2024-03-07,Rendimentos,0.36
2024-03-08,Rendimentos,0.33
2024-03-09,Guardado,1422.5
2024-03-11,Rendimentos,0.34
2024-03-12,Rendimentos,0.27
2024-03-13,Rendimentos,0.31
2024-03-14,Rendimentos,0.35
2024-03-15,Rendimentos,0.37
2024-03-15,Resgatado,-12.0
2024-03-18,Rendimentos,0.38
2024-03-18,Resgatado,-12.0
2024-03-19,Rendimentos,0.62
2024-03-20,Rendimentos,0.48
2024-03-20,Resgatado,-20.0
2024-03-21,Rendimentos,0.55
2024-03-21,Resgatado,-12.0
2024-03-21,Resgatado,-20.0
2024-03-22,Rendimentos,0.5
2024-03-25,Rendimentos,0.53
2024-03-26,Rendimentos,0.91
2024-03-27,Rendimentos,0.68
2024-03-28,Rendimentos,0.63
2024-04-01,Rendimentos,0.69
